gisjoin,year,state,statea,county,countya,tracta,name,c_tot_housing_unt,c_occup_unt,c_vacant_unt,c_population,c_male_pop,c_female_pop,c_black_pop,c_ai_pop,c_asian_pop,c_pacific_islander_pop,c_multiracial_pop,c_hispanic_pop,c_white_pop,c_perc_male,c_perc_female,c_perc_black,c_perc_asian,c_perc_pacific_islander,c_perc_ai,c_perc_multiracial,c_perc_hispanic,c_perc_white,c_median_age_tot,c_mean_household_size_tot,c_total_households,c_hh_type_family,c_hh_type_family_husband_wife,c_hh_type_family_other_family,c_hh_type_family_single_male,c_hh_type_family_single_female,c_hh_type_nonfamily,c_living_alone,c_roommates,c_hh_with_children,c_hh_family_with_children,c_generations_3plus,c_generations_under3,c_mean_family_size_tot,c_total_occupied_housing_units,c_owner_occupied_units,c_renter_occupied_units,c_perc_fam_hh,c_perc_nonfam_hh,c_perc_married_hh,c_perc_single_householder_fam_hh,c_perc_living_alone,c_perc_roommates,c_perc_child_hh,c_perc_child_fam_hh,c_perc_owner_occ,c_perc_renter_occ,s_tot_mtw,s_mtw_perc_carpooled,s_mtw_perc_drove_alone,s_mtw_perc_public_transport,s_mtw_perc_bike,s_mtw_perc_walk,s_tot_ttw,s_weighted_avg_ttw,s_tot_edu,s_edu_perc_nohs,s_edu_perc_hs,s_edu_perc_some_college,s_edu_perc_college,s_edu_perc_gradschool,s_median_household_income,s_tot_public_assistance_households,s_perc_public_assistance_income,s_median_family_income,s_percapita_income,s_tot_occ,s_occ_perc_aggriculture,s_occ_perc_construction_manufacturing,s_occ_perc_trade,s_occ_perc_transport_warehousing_utils,s_occ_perc_info,s_occ_perc_finance,s_occ_perc_professional,s_occ_perc_edu_health,s_occ_perc_arts_rec_accomodations_food,s_occ_perc_public_admin,s_tot_employment_status,s_tot_foreign_lang,s_employment_status_perc_unemployed,s_foreign_lang_perc_spoken,s_med_num_rooms,s_med_yr_bult,s_med_rent,s_med_hous_val,s_tot_occupied_units,s_tot_owner_occupied,s_tot_renter_occupied,s_perc_util_gas,s_perc_gas,s_perc_elect,s_perc_oil_ker,s_perc_coal_coke,s_perc_wood,s_perc_solar,s_perc_other,s_perc_no_fuel,s_perc_comp_plump,s_perc_incom_plump,s_perc_owner_no_vehi,s_perc_owner_vehi,s_perc_renter_no_vehi,s_perc_renter_vehi
G3600050000100,2010,New York,36,Bronx County,005,000100,Census Tract 1,0,0,0,11091,10179,912,6515,117,180,28,6,3779,782,91.77711658101163,8.222883418988369,58.741321792444325,1.6229375169055993,0.2524569470742043,1.0549093859886394,0.054097917230186636,34.072671535479216,7.050761879000992,31.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,7943,67.02757144655672,20.546393050484703,8.132947249150195,4.028704519702883,0.2643837341055017,NA,0,NA,NA,5307,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7943,7943,100,34.08032229636157,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3600050000200,2010,New York,36,Bronx County,005,000200,Census Tract 2,1449,1351,98,4334,2030,2304,1264,52,140,15,250,2993,130,46.83894785417628,53.16105214582372,29.164743885556067,3.2302722658052603,0.34610059990770653,1.1998154130133827,5.7683433317951085,69.05860636825103,2.9995385325334563,33.9,3.2,1351,1064,570,494,113,381,287,227,60,638,636,156,1195,3.56,1351,716,635,78.75647668393782,21.243523316062177,42.19096965210955,36.565507031828275,16.80236861584012,4.441154700222058,47.224278312361214,47.07623982235381,52.99777942264989,47.002220577350116,1795,16.323119777158773,48.022284122562674,32.25626740947075,0,1.5041782729805013,1761,44.59170925610449,2489,20.289272800321413,37.324226597026914,21.534752912816394,16.87424668541583,3.9775010044194454,59826,1297,3.932151117964534,58368,21192,1812,0,10.54083885209713,25.441501103752763,10.816777041942604,0.8830022075055187,11.368653421633553,8.057395143487858,22.958057395143488,4.525386313465784,2.4282560706401766,2489,2489,34.552028927280034,67.4568099638409,4.8,1948,1273,392500,1297,784,513,76.1757902852737,0,2.15882806476484,21.6653816499614,0,0,0,0,0,100,0,12.5,87.5,27.6803118908382,72.3196881091618
G3600050000400,2010,New York,36,Bronx County,005,000400,Census Tract 4,1903,1786,117,5503,2680,2823,1735,48,124,6,358,3755,189,48.700708704343086,51.299291295656914,31.52825731419226,2.253316372887516,0.10903143739778302,0.8722514991822642,6.505542431401054,68.23550790477921,3.4344902780301654,34.1,3.07,1786,1400,739,661,172,489,386,312,74,858,854,174,1612,3.43,1786,1171,615,78.38745800671893,21.612541993281077,41.37737961926092,37.01007838745801,17.469204927211646,4.143337066069429,48.04031354983203,47.816349384098544,65.56550951847704,34.43449048152296,2373,6.658238516645596,49.93678887484197,39.69658659924147,0.7585335018963337,2.4863042562157607,2373,44.37294563843236,3140,19.140127388535035,26.0828025477707,18.535031847133755,26.687898089171973,9.554140127388536,71968,1531,0.3919007184846506,73148,27777,2422,0,9.702725020644095,7.101568951279933,7.018992568125516,2.064409578860446,11.43682906688687,8.75309661436829,38.4393063583815,2.9314616019818334,7.762180016515277,3140,3140,26.560509554140125,64.04458598726114,5,1978,1330,393700,1531,939,592,77.4657086871326,5.421293272371,0.84911822338341,15.4800783801437,0,0,0,0.783801436969301,0,100,0,10.9691160809372,89.0308839190628,27.8716216216216,72.1283783783784
G3600050001600,2010,New York,36,Bronx County,005,001600,Census Tract 16,2001,1925,76,5643,2488,3155,2293,54,63,0,315,3482,195,44.090023037391454,55.909976962608546,40.63441431862485,1.1164274322169059,0,0.9569377990430622,5.582137161084529,61.70476696792486,3.455608718766613,35,2.81,1925,1362,514,848,113,735,563,505,58,812,810,156,1769,3.35,1925,308,1617,70.75324675324676,29.246753246753247,26.701298701298704,44.05194805194805,26.233766233766232,3.012987012987013,42.18181818181818,42.077922077922075,16,84,1939,15.471892728210419,33.935018050541515,45.74522949974214,0,1.8566271273852502,1907,41.98898793917147,3421,28.178895059924,32.85589009061678,21.04647763811751,11.57556270096463,6.343174510377082,30355,1983,3.7821482602118004,33555,16158,1994,0,7.472417251755266,10.381143430290871,8.224674022066198,1.4543630892678034,3.8114343029087263,2.457372116349047,45.135406218655966,4.864593781344032,9.779338014042125,3421,3421,41.888336743642206,57.907044723764976,4,1968,823,378100,1983,419,1564,42.9652042360061,1.6137165910237,9.53101361573374,41.5027735753908,0.453857791225416,0,0,1.66414523449319,2.26928895612708,98.828125,1.171875,30.3102625298329,69.6897374701671,53.9002557544757,46.0997442455243
G3600050001900,2010,New York,36,Bronx County,005,001900,Census Tract 19,606,550,56,1917,1065,852,641,22,25,1,78,1186,187,55.55555555555556,44.44444444444444,33.437663015127804,1.3041210224308815,0.05216484089723526,1.1476264997391759,4.068857589984351,61.86750130412102,9.754825247782994,30.6,2.58,550,281,122,159,54,105,269,211,58,174,174,32,518,3.47,550,45,505,51.090909090909086,48.90909090909091,22.181818181818183,28.909090909090907,38.36363636363636,10.545454545454545,31.636363636363633,31.636363636363633,8.181818181818182,91.81818181818183,640,7.656250000000001,12.968750000000002,59.68750000000001,0,9.21875,573,45.79930191972077,1313,44.02132520944402,27.722772277227726,12.261995430312261,12.642802741812641,3.3511043412033508,25093,655,15.419847328244273,25489,11554,640,0,3.28125,8.59375,0.3125,10.15625,3.28125,18.90625,26.875,9.53125,0,1313,1313,48.66717440974867,52.399086062452405,3.7,1951,870,NA,655,42,613,36.030534351145,3.05343511450382,14.0458015267176,46.8702290076336,0,0,0,0,0,97.1870604781997,2.81293952180028,92.8571428571429,7.14285714285714,72.7569331158238,27.2430668841762
G3600050002000,2010,New York,36,Bronx County,005,002000,Census Tract 20,3135,3019,116,8731,3817,4914,3861,167,89,17,546,5361,112,43.71778719505212,56.28221280494788,44.22173863245906,1.0193563165731303,0.19470850990722713,1.9127247737945254,6.2535792005497655,61.40190127133204,1.282785477035849,31,2.89,3019,2158,604,1554,204,1350,861,782,79,1352,1346,326,2693,3.44,3019,401,2618,71.48062272275588,28.519377277244118,20.00662471016893,51.473998012586954,25.90261676051673,2.616760516727393,44.78304074196754,44.58429943689964,13.28254388870487,86.71745611129514,2785,6.9658886894075405,27.289048473967686,59.74865350089766,0,2.2262118491921004,2680,50.49179104477612,4839,41.661500309981406,28.497623475924776,13.391196528208308,12.089274643521389,4.360405042364125,24939,3029,11.554968636513701,30817,13460,2814,0,6.2544420753375976,10.127931769722814,7.356076759061833,1.3859275053304905,10.980810234541579,4.975124378109453,44.740582800284294,5.223880597014925,3.731343283582089,4839,4839,45.50526968381897,55.69332506716263,4.2,1954,455,398100,3029,374,2655,28.3922086497194,1.12248266754705,6.7679102013866,60.2178936942885,0,0,0,1.65070980521624,1.84879498184219,98.9733718318896,1.02662816811036,17.379679144385,82.620320855615,78.4180790960452,21.5819209039548
G3600050002300,2010,New York,36,Bronx County,005,002300,Census Tract 23,1783,1774,9,4933,2114,2819,2221,75,16,1,275,3223,41,42.85424690857491,57.1457530914251,45.02331238597203,0.3243462396107845,0.020271639975674032,1.5203729981755523,5.574700993310358,65.3354956415974,0.8311372390026353,29.2,2.78,1774,1221,305,916,78,838,553,506,47,815,811,192,1582,3.45,1774,11,1763,68.82750845546786,31.172491544532132,17.192784667418266,51.634723788049605,28.52311161217587,2.6493799323562572,45.9413754227734,45.71589627959413,0.6200676437429538,99.37993235625704,1399,2.215868477483917,20.44317369549678,71.76554681915654,0,3.4310221586847747,1377,47.6238198983297,3010,46.31229235880399,31.029900332225914,12.425249169435217,9.800664451827243,0.4318936877076412,13756,1968,9.095528455284553,20342,10204,1459,1.233721727210418,8.224811514736121,18.094585332419467,13.433858807402329,3.289924605894448,7.265250171350241,7.265250171350241,27.210418094585332,10.28101439342015,0.5483207676490748,3010,3010,54.61794019933555,61.029900332225914,3.6,1963,359,NA,1968,7,1961,58.3841463414634,0.40650406504065,4.92886178861789,32.9776422764228,0,0,0,0.914634146341463,2.38821138211382,98.1642512077295,1.83574879227053,0,100,80.4691483936767,19.5308516063233
G3600050002400,2010,New York,36,Bronx County,005,002400,Census Tract 24,3,1,2,4,3,1,2,0,0,0,0,4,0,75,25,50,0,0,0,0,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G3600050002500,2010,New York,36,Bronx County,005,002500,Census Tract 25,1999,1824,175,5491,2697,2794,1361,143,36,0,350,4349,78,49.116736477872884,50.88326352212712,24.78601347659807,0.655618284465489,0,2.6042615188490257,6.374066654525587,79.20233108723366,1.4205062830085595,29.6,3.01,1824,1230,397,833,170,663,594,510,84,797,792,191,1633,3.64,1824,44,1780,67.43421052631578,32.56578947368421,21.765350877192983,45.66885964912281,27.960526315789476,4.605263157894736,43.69517543859649,43.42105263157895,2.4122807017543857,97.58771929824562,1495,4.481605351170568,4.414715719063545,70.96989966555184,2.4080267558528425,14.849498327759198,1452,45.29683195592286,2896,48.7914364640884,32.49309392265193,8.425414364640885,8.7707182320442,1.5193370165745856,15207,1812,11.810154525386315,17048,10371,1575,0,11.80952380952381,13.65079365079365,2.412698412698413,0,4.444444444444445,9.015873015873016,24.634920634920636,20.50793650793651,1.9682539682539684,2896,2896,45.44198895027624,79.90331491712708,3.9,1959,570,381300,1812,43,1769,48.8962472406181,0,4.63576158940397,44.8123620309051,0,0,0,0.44150110375275903,1.21412803532009,94.675701839303,5.324298160697,46.5116279069767,53.4883720930233,84.7936687394008,15.2063312605992
G3600050002701,2010,New York,36,Bronx County,005,002701,Census Tract 27.01,1075,1042,33,3113,1398,1715,1313,63,5,0,183,2050,28,44.908448442017345,55.091551557982655,42.17796337937681,0.16061676839061997,0,2.0237712817218116,5.878573723096691,65.85287504015419,0.8994539029874719,27.8,2.99,1042,774,196,578,63,515,268,237,31,548,546,107,935,3.45,1042,3,1039,74.28023032629558,25.719769673704413,18.809980806142036,55.470249520153544,22.744721689059503,2.9750479846449136,52.5911708253359,52.39923224568138,0.28790786948176583,99.71209213051824,840,11.547619047619047,16.071428571428573,60.952380952380956,0,9.761904761904763,840,42.18571428571428,1642,39.646772228989036,32.27771010962241,13.824604141291108,13.032886723507916,1.2180267965895248,19450,1014,25.04930966469428,25269,12048,861,0,5.342624854819976,16.260162601626014,5.923344947735192,2.5551684088269457,1.1614401858304297,8.246225319396052,36.00464576074332,19.279907084785133,2.671312427409988,1642,1642,45.676004872107185,43.605359317905,4.1,1957,539,NA,1014,0,1014,47.9289940828402,0,3.25443786982249,43.7869822485207,0,0,0,3.35305719921105,1.67652859960552,95.1818181818182,4.81818181818182,NA,NA,79.2899408284024,20.7100591715976
